2/6/23|14:13:10|23|53|0:0|1@ 
2/6/23|14:13:40|23|57|0:0|1@ 
2/6/23|14:14:10|23|54|0:1|1@ 
2/6/23|14:14:40|22|56|0:1|1@ 
2/6/23|14:15:40|23|57|0:2|0|0:0@ 
2/6/23|14:16:10|23|56|0:3|0|0:1@ 
2/6/23|14:16:40|23|55|0:3|0|0:1@ 
2/6/23|14:17:10|23|55|0:4|0|0:2@ 
2/6/23|14:17:40|23|54|0:4|1@ 
2/6/23|14:18:10|23|60|0:5|1@ 
2/6/23|14:19:40|22|83|0:5|1@ 
2/6/23|14:20:40|22|78|0:5@ 
2/6/23|14:21:10|23|66|0:6@ 
2/6/23|14:21:40|23|57|0:6@ 
2/6/23|14:22:10|23|51|0:7@ 
2/6/23|14:22:40|23|46|0:7@ 
2/6/23|14:23:10|23|43|0:8@ 
2/6/23|14:23:40|23|40|0:8@ 
2/6/23|14:24:10|23|37|0:9@ 
2/6/23|14:24:40|23|34|0:9@ 
2/6/23|14:25:10|23|32|0:10@ 
2/6/23|14:25:40|23|30|0:10@ 
2/6/23|14:26:10|23|29|0:11@ 
