13/6/23|12:24:25|22|37|0:10|1|2@ 
13/6/23|12:24:30|22|37|0:10|1|2@ 
13/6/23|12:24:35|22|36|0:10|1|2@ 
13/6/23|12:24:40|22|36|0:10|1|2@ 
13/6/23|12:24:45|22|36|0:10|1|2@ 
13/6/23|12:24:50|22|35|0:10|1|2@ 
13/6/23|12:24:55|22|35|0:10|1|2@ 
13/6/23|12:25:0|22|35|0:11|1|2@ 
13/6/23|12:25:5|22|34|0:11|1|2@ 
13/6/23|12:25:10|22|34|0:11|1|2@ 
13/6/23|12:25:15|22|34|0:11|1|2@ 
13/6/23|12:25:20|22|33|0:11|1|2@ 
13/6/23|12:25:25|22|32|0:11|1|2@ 
13/6/23|12:25:30|22|32|0:11|1|2@ 
13/6/23|12:25:35|22|32|0:11|1|2@ 
13/6/23|12:25:40|22|32|0:11|1|2@ 
13/6/23|12:25:45|22|31|0:11|1|2@ 
13/6/23|12:25:50|22|31|0:11|1|2@ 
13/6/23|12:25:55|22|30|0:11|1|2@ 
13/6/23|12:26:0|22|30|0:12|1|2@ 
13/6/23|12:26:5|22|30|0:12|1|2@ 
13/6/23|12:26:10|22|30|0:12|1|2@ 
13/6/23|12:26:15|22|30|0:12|1|2@ 
13/6/23|12:26:20|22|30|0:12|1|2@ 
13/6/23|12:26:25|22|29|0:12|1|2@ 
13/6/23|12:26:30|22|29|0:12|1|2@ 
13/6/23|12:26:35|22|29|0:12|1|2@ 
13/6/23|12:26:40|22|29|0:12|1|2@ 
13/6/23|12:26:45|22|28|0:12|1|2@ 
13/6/23|12:26:50|22|28|0:12|1|2@ 
13/6/23|12:26:55|22|28|0:12|1|2@ 
13/6/23|12:27:0|22|28|0:13|1|2@ 
13/6/23|12:27:5|22|28|0:13|1|2@ 
13/6/23|12:27:10|22|28|0:13|1|2@ 
13/6/23|12:27:15|22|27|0:13|1|2@ 
13/6/23|12:27:20|22|27|0:13|1|2@ 
13/6/23|12:27:30|22|27|0:13|1|3@ 
13/6/23|12:27:35|22|27|0:13|1|3@ 
13/6/23|12:27:40|22|26|0:13|1|3@ 
13/6/23|12:27:45|22|26|0:13|1|3@ 
13/6/23|12:27:50|22|26|0:13|1|3@ 
13/6/23|12:27:55|22|26|0:13|1|3@ 
13/6/23|12:28:0|22|26|0:14|1|3@ 
13/6/23|12:28:5|22|25|0:14|1|3@ 
13/6/23|12:28:10|22|26|0:14|1|3@ 
13/6/23|12:28:15|22|26|0:14|1|3@ 
13/6/23|12:28:20|22|26|0:14|1|3@ 
13/6/23|12:28:25|22|25|0:14|1|3@ 
13/6/23|12:28:30|22|25|0:14|1|3@ 
